ID,lnc_10,lnc_11,lnc_19,lnc_20,lnc_21,lnc_25,lnc_26,lnc_27,lnc_40,lnc_41,lnc_46,lnc_47,lnc_16,lnc_17,lnc_18,lnc_31,lnc_33,lnc_34,lnc_35,lnc_44,lnc_45,lnc_5,lnc_6,lnc_7,lnc_8,lnc_9,lnc_13,lnc_14,lnc_15,lnc_23,lnc_24,lnc_28,lnc_29,lnc_30,lnc_36,lnc_37,lnc_38,lnc_39
LINC-ARL4C-7,6.51E-05,3.22E-06,5.34E-05,4.12E-05,3.15E-05,7.07E-06,2.80E-05,9.52E-05,1.73E-05,9.10E-05,8.92E-05,4.05E-05,6.20E-05,3.35E-05,5.83E-05,1.64E-05,0.000135401,2.61E-05,0.000103693,1.56E-05,3.09E-06,1.36E-05,0.000145244,2.33E-05,0.000197056,3.57E-05,4.28E-05,0.000126075,0.000136562,1.20E-05,7.34E-05,6.98E-05,9.23E-05,6.55E-05,5.39E-05,3.28E-05,6.87E-05,0.000142807
LINC-ARL4C-8,4.98E-05,2.69E-05,1.81E-05,3.29E-05,3.53E-05,2.53E-05,3.79E-05,6.80E-05,2.11E-05,0.00011849,4.66E-05,4.19E-05,9.07E-05,3.02E-05,0.00013045,1.88E-05,0.00010421,2.28E-05,0.000112348,1.50E-05,3.22E-05,6.02E-06,0.000110762,7.79E-05,4.04E-05,3.49E-05,2.13E-05,7.79E-05,0.000105864,1.83E-05,0.000133804,5.55E-05,9.92E-05,0,3.60E-05,4.91E-05,3.05E-05,0.000108809
LINC-ARL4D-2,0.000683142,0.000189751,8.85E-05,0.000148637,5.72E-05,5.54E-05,0.000171211,0.000362115,5.29E-05,0.000165314,0.000149115,0.00012551,0.000424846,0.00031149,0.000689669,0.000192337,0.000866729,4.75E-05,0.000465816,4.22E-05,2.33E-05,2.61E-05,0.000216731,0.00036923,0.000506593,0.000724617,0.000134224,0.000262737,0.000485913,7.72E-05,0.000352098,9.74E-05,0.000191865,0.000164895,0.000110632,7.65E-05,0.000228612,0.000781056
LINC-ARL4D-6,0.000513029,0.000165834,0.00010133,0.000420127,4.14E-05,3.54E-05,0.000334622,0.000295799,7.07E-05,0.000173141,0.000193795,0.000101465,0.000399166,0.000238675,0.00059718,0.000152104,0.000781074,4.37E-05,0.000353114,5.35E-05,3.09E-05,3.41E-05,0.000190966,0.000287147,0.000289178,0.000713475,0.000122441,0.000291211,0.000367531,8.68E-05,0.000276428,8.43E-05,0.000337506,0.000235567,8.51E-05,0.00010183,0.000183902,0.000543244
LINC-ARL4D-7,0.000191683,0.000197155,0.000107209,0.00010625,5.07E-05,2.85E-05,0.000105127,0.000189912,3.20E-05,0.000123289,8.35E-05,7.10E-05,0.00017133,8.95E-05,0.000294321,5.37E-05,6.77E-05,2.52E-05,0.000220247,1.61E-05,0,1.90E-05,0.000255219,0.000184112,0.000526214,0.00021177,8.20E-05,0.000399621,0.000144449,3.49E-05,0.000170725,7.93E-05,8.33E-05,8.77E-05,0.000105908,2.70E-05,0.000122922,0.000197395
LINC-ARMC3-2,0.000102929,0.000106656,3.36E-05,9.68E-05,7.44E-05,2.20E-05,2.98E-05,3.57E-05,3.74E-05,3.29E-05,2.95E-05,3.35E-05,0.000191599,1.99E-05,0.000138199,2.30E-05,9.88E-05,0,0.00015582,1.33E-05,3.84E-05,0,0.00014911,0.000104546,3.12E-05,0,0,5.31E-05,0.00021836,6.06E-05,0.000386627,8.11E-06,6.32E-05,0.000152717,3.31E-05,2.68E-05,0,1.70E-05
LINC-ARMCX3-1,0.000143438,0.000116147,9.69E-05,9.40E-05,6.44E-05,3.93E-05,4.32E-05,0.00012899,1.23E-05,0.000174453,0.000122431,0.000134134,0.000195917,0.000134313,0.000284281,7.25E-05,0.000232898,3.82E-05,0.000283014,3.40E-05,5.82E-05,3.59E-05,0.000138641,0.000227747,0.000378461,0.000211376,9.45E-05,0.000176852,0.000171052,4.54E-05,0.000146409,0.000113473,9.93E-05,7.21E-05,5.13E-05,4.63E-05,7.39E-05,0.000197471
LINC-ARMCX3-2,7.79E-05,5.93E-05,4.45E-05,6.34E-05,3.10E-05,1.56E-05,2.64E-05,0.000139847,1.40E-05,5.09E-05,3.21E-05,5.57E-05,9.24E-05,5.31E-05,0.000153227,4.09E-05,0.000124707,1.59E-05,0.000113091,1.55E-05,5.95E-06,1.02E-05,0.000111411,8.78E-05,0.000202673,0.000133953,3.04E-05,9.72E-05,9.43E-05,2.54E-05,9.02E-05,8.88E-05,7.25E-05,4.74E-05,5.50E-05,3.59E-05,3.78E-05,0.000147841
LINC-ARMH2-1,5.18E-05,9.08E-05,3.34E-05,2.90E-05,1.31E-05,3.31E-05,5.32E-05,8.55E-05,3.86E-05,9.68E-05,8.85E-05,5.57E-05,0.000254211,7.44E-05,0.000112652,7.98E-05,0.000129786,8.67E-06,4.38E-05,6.83E-06,1.76E-05,9.75E-06,0.000184781,0.000179706,0.000347701,0.000101772,3.78E-05,0.000248855,4.47E-05,2.49E-05,0.000106128,7.78E-06,2.63E-05,8.99E-05,8.17E-05,9.36E-06,7.08E-05,0.000108818
LINC-ARPC2-1,0.000137161,9.61E-05,8.07E-05,0.000106693,4.74E-05,3.21E-05,0.000103903,0.000202959,3.60E-05,7.24E-05,0.000144946,5.03E-05,0.000172591,0.000123706,0.000211151,5.68E-05,0.000175813,1.69E-05,0.000134275,2.24E-05,1.58E-05,1.51E-05,0.000212731,9.90E-05,0.000233164,0.000135093,5.24E-05,0.00020525,0.000149439,4.90E-05,0.000160915,5.16E-05,8.97E-05,0.000113163,9.48E-05,3.68E-05,7.13E-05,0.000282813
